iter	Passed	Remaining
350	974	1801
351	977	1798
352	979	1795
353	982	1792
354	985	1789
355	987	1786
356	990	1783
357	993	1781
358	996	1778
359	998	1775
360	1001	1773
361	1004	1770
362	1007	1767
363	1010	1765
364	1013	1762
365	1015	1759
366	1018	1756
367	1020	1753
368	1023	1750
369	1026	1747
370	1029	1744
371	1031	1741
372	1034	1738
373	1037	1735
374	1039	1732
375	1042	1730
376	1045	1727
377	1047	1724
378	1050	1721
379	1053	1719
380	1056	1715
381	1058	1713
382	1061	1710
383	1064	1707
384	1066	1704
385	1069	1701
386	1072	1698
387	1074	1695
388	1077	1692
389	1079	1689
390	1082	1686
391	1085	1683
392	1087	1680
393	1090	1677
394	1094	1675
395	1096	1672
396	1099	1670
397	1102	1666
398	1104	1663
399	1107	1661
400	1110	1658
401	1113	1655
402	1115	1653
403	1118	1650
404	1121	1647
405	1123	1644
406	1126	1641
407	1129	1638
408	1132	1636
409	1134	1633
410	1137	1630
411	1140	1627
412	1142	1624
413	1145	1621
414	1148	1618
415	1151	1616
416	1153	1612
417	1156	1610
418	1159	1607
419	1162	1604
420	1164	1602
421	1167	1599
422	1170	1596
423	1173	1593
424	1175	1590
425	1178	1588
426	1181	1585
427	1184	1582
428	1186	1579
429	1189	1577
430	1192	1573
431	1194	1571
432	1197	1568
433	1200	1565
434	1203	1562
435	1205	1559
436	1208	1556
437	1211	1554
438	1214	1551
439	1216	1548
440	1219	1545
441	1222	1543
442	1225	1540
443	1227	1537
444	1230	1534
445	1233	1531
446	1235	1528
447	1238	1526
448	1241	1523
449	1244	1520
450	1246	1517
451	1249	1514
452	1251	1511
453	1254	1508
454	1257	1506
455	1260	1503
456	1262	1500
457	1265	1497
458	1267	1494
459	1270	1491
460	1273	1488
461	1276	1485
462	1278	1482
463	1281	1479
464	1283	1476
465	1286	1473
466	1289	1471
467	1291	1468
468	1294	1465
469	1296	1462
470	1299	1459
471	1301	1456
472	1304	1453
473	1307	1450
474	1310	1448
475	1313	1445
476	1315	1442
477	1318	1439
478	1320	1436
479	1323	1433
480	1326	1431
481	1328	1428
482	1331	1425
483	1334	1422
484	1336	1419
485	1339	1416
486	1342	1414
487	1344	1411
488	1348	1408
489	1350	1405
490	1353	1402
491	1356	1400
492	1359	1397
493	1361	1394
494	1364	1392
495	1367	1389
496	1369	1386
497	1372	1383
498	1375	1380
499	1377	1377
500	1380	1375
501	1383	1372
502	1386	1369
503	1388	1366
504	1391	1364
505	1394	1361
506	1396	1358
507	1399	1355
508	1402	1352
509	1404	1349
510	1407	1346
511	1410	1344
512	1412	1341
513	1415	1338
514	1418	1335
515	1421	1332
516	1424	1330
517	1427	1327
518	1429	1325
519	1432	1322
520	1435	1319
521	1437	1316
522	1440	1313
523	1443	1311
524	1446	1308
525	1448	1305
526	1451	1302
527	1454	1300
528	1457	1297
529	1459	1294
530	1463	1292
531	1465	1289
532	1468	1286
533	1471	1283
534	1473	1280
535	1477	1278
536	1479	1275
537	1482	1272
538	1485	1270
539	1487	1267
540	1490	1264
541	1493	1261
542	1496	1259
543	1498	1256
544	1501	1253
545	1504	1250
546	1506	1247
547	1509	1245
548	1512	1242
549	1515	1239
550	1518	1237
551	1520	1234
552	1523	1231
553	1526	1228
554	1529	1226
555	1531	1223
556	1534	1220
557	1537	1217
558	1539	1214
559	1542	1211
560	1545	1209
561	1547	1206
562	1550	1203
563	1553	1200
564	1555	1197
565	1558	1195
566	1561	1192
567	1564	1189
568	1566	1186
569	1569	1183
570	1572	1181
571	1575	1178
572	1577	1175
573	1580	1172
574	1583	1170
575	1585	1167
576	1588	1164
577	1591	1161
578	1594	1159
579	1596	1156
580	1599	1153
581	1602	1150
582	1605	1148
583	1608	1145
584	1610	1142
585	1613	1139
586	1616	1137
587	1618	1134
588	1621	1131
589	1624	1128
590	1626	1125
591	1629	1123
592	1632	1120
593	1634	1117
594	1637	1114
595	1640	1111
596	1643	1109
597	1645	1106
598	1648	1103
599	1650	1100
600	1653	1097
601	1656	1094
602	1658	1092
603	1661	1089
604	1664	1086
605	1666	1083
606	1669	1080
607	1672	1078
608	1674	1075
609	1677	1072
610	1680	1069
611	1682	1066
612	1685	1064
613	1688	1061
614	1691	1058
615	1694	1056
616	1696	1053
617	1699	1050
618	1702	1047
619	1704	1044
620	1707	1042
621	1711	1040
622	1714	1037
623	1716	1034
624	1719	1031
625	1722	1029
626	1725	1026
627	1728	1023
628	1730	1020
629	1733	1018
630	1736	1015
631	1739	1012
632	1741	1009
633	1744	1007
634	1747	1004
635	1750	1001
636	1752	998
637	1755	996
638	1758	993
639	1761	990
640	1764	988
641	1767	985
642	1769	982
643	1772	979
644	1775	977
645	1778	974
646	1780	971
647	1783	968
648	1786	965
649	1788	963
650	1791	960
651	1794	957
652	1796	954
653	1799	952
654	1802	949
655	1805	946
656	1807	943
657	1810	940
658	1813	938
659	1815	935
660	1818	932
661	1821	929
662	1824	927
663	1826	924
664	1829	921
665	1831	918
666	1834	915
667	1837	913
668	1840	910
669	1843	907
670	1845	905
671	1848	902
672	1851	899
673	1853	896
674	1856	893
675	1859	891
676	1861	888
677	1864	885
678	1866	882
679	1869	879
680	1872	877
681	1875	874
682	1877	871
683	1880	868
684	1883	865
685	1885	863
686	1888	860
687	1891	857
688	1893	854
689	1896	851
690	1899	849
691	1901	846
692	1904	843
693	1907	840
694	1909	838
695	1912	835
696	1915	832
697	1917	829
698	1920	827
699	1923	824
700	1925	821
701	1928	818
702	1931	815
703	1934	813
704	1936	810
705	1939	807
706	1942	804
707	1945	802
708	1947	799
709	1950	796
710	1953	793
711	1956	791
712	1959	788
713	1961	785
714	1964	782
715	1966	780
716	1970	777
717	1972	774
718	1975	772
719	1978	769
720	1980	766
721	1983	763
722	1986	761
723	1989	758
724	1991	755
725	1994	752
726	1996	749
727	1999	747
728	2002	744
729	2004	741
730	2007	738
731	2010	735
732	2012	733
733	2015	730
734	2018	727
735	2021	725
736	2024	722
737	2026	719
738	2029	716
739	2031	713
740	2034	711
741	2037	708
742	2040	705
743	2042	702
744	2045	700
745	2048	697
746	2050	694
747	2053	691
748	2056	689
749	2059	686
750	2061	683
751	2064	680
752	2067	678
753	2069	675
754	2072	672
755	2075	669
756	2077	667
757	2080	664
758	2083	661
759	2085	658
760	2088	655
761	2091	653
762	2094	650
763	2096	647
764	2099	645
765	2102	642
766	2105	639
767	2108	636
768	2110	634
769	2113	631
770	2116	628
771	2119	625
772	2122	623
773	2124	620
774	2127	617
775	2130	614
776	2133	612
777	2135	609
778	2138	606
779	2141	603
780	2143	601
781	2146	598
782	2149	595
783	2152	592
784	2154	590
785	2157	587
786	2159	584
787	2162	581
788	2165	579
789	2168	576
790	2171	573
791	2173	570
792	2176	568
793	2179	565
794	2181	562
795	2184	559
796	2187	557
797	2190	554
798	2192	551
799	2195	548
800	2197	546
801	2200	543
802	2203	540
803	2206	537
804	2208	535
805	2211	532
806	2214	529
807	2216	526
808	2219	524
809	2222	521
810	2225	518
811	2227	515
812	2230	512
813	2232	510
814	2235	507
815	2238	504
816	2240	501
817	2243	499
818	2246	496
819	2249	493
820	2252	491
821	2255	488
822	2257	485
823	2261	482
824	2263	480
825	2266	477
826	2269	474
827	2272	472
828	2274	469
829	2277	466
830	2280	463
831	2283	461
832	2285	458
833	2288	455
834	2291	452
835	2293	449
836	2296	447
837	2299	444
838	2302	441
839	2304	439
840	2307	436
841	2310	433
842	2312	430
843	2315	428
844	2318	425
845	2321	422
846	2324	419
847	2326	417
848	2329	414
849	2332	411
850	2334	408
851	2337	406
852	2340	403
853	2342	400
854	2345	397
855	2348	395
856	2350	392
857	2353	389
858	2356	386
859	2358	383
860	2361	381
861	2364	378
862	2366	375
863	2369	372
864	2372	370
865	2374	367
866	2377	364
867	2380	361
868	2383	359
869	2385	356
870	2388	353
871	2391	350
872	2393	348
873	2396	345
874	2399	342
875	2402	340
876	2404	337
877	2407	334
878	2410	331
879	2412	329
880	2415	326
881	2418	323
882	2421	320
883	2423	318
884	2426	315
885	2429	312
886	2432	309
887	2435	307
888	2437	304
889	2440	301
890	2443	298
891	2445	296
892	2448	293
893	2451	290
894	2454	287
895	2456	285
896	2459	282
897	2461	279
898	2464	276
899	2467	274
900	2470	271
901	2473	268
902	2475	265
903	2478	263
904	2481	260
905	2484	257
906	2486	254
907	2489	252
908	2491	249
909	2494	246
910	2497	243
911	2500	241
912	2503	238
913	2505	235
914	2508	233
915	2511	230
916	2513	227
917	2516	224
918	2519	222
919	2521	219
920	2524	216
921	2527	213
922	2530	211
923	2533	208
924	2536	205
925	2538	202
926	2541	200
927	2544	197
928	2546	194
929	2549	191
930	2552	189
931	2554	186
932	2557	183
933	2560	180
934	2563	178
935	2565	175
936	2568	172
937	2571	169
938	2573	167
939	2576	164
940	2579	161
941	2581	158
942	2584	156
943	2587	153
944	2589	150
945	2592	147
946	2595	145
947	2598	142
948	2600	139
949	2603	137
950	2606	134
951	2608	131
952	2611	128
953	2614	126
954	2616	123
955	2619	120
956	2622	117
957	2625	115
958	2627	112
959	2630	109
960	2632	106
961	2635	104
962	2638	101
963	2640	98
964	2643	95
965	2646	93
966	2649	90
967	2651	87
968	2654	84
969	2657	82
970	2660	79
971	2663	76
972	2666	73
973	2669	71
974	2672	68
975	2674	65
976	2677	63
977	2680	60
978	2682	57
979	2685	54
980	2688	52
981	2691	49
982	2693	46
983	2696	43
984	2699	41
985	2702	38
986	2704	35
987	2707	32
988	2710	30
989	2713	27
990	2715	24
991	2718	21
992	2722	19
993	2725	16
994	2727	13
995	2730	10
996	2733	8
997	2735	5
998	2738	2
999	2741	0
